crypto;date;courscloture;;;;
cosmos;15/05/2023;10,8002;;;;
cosmos;14/05/2023;10,9173;;;;
cosmos;13/05/2023;10,8814;;;;
cosmos;12/05/2023;11,1511;;;;
cosmos;11/05/2023;11,0301;;;;
cosmos;10/05/2023;10,9976;;;;
cosmos;09/05/2023;10,3796;;;;
cosmos;08/05/2023;10,5929;;;;
cosmos;07/05/2023;10,9788;;;;
cosmos;06/05/2023;10,841;;;;
cosmos;05/05/2023;11,2137;;;;
cosmos;04/05/2023;10,9798;;;;
cosmos;03/05/2023;11,0998;;;;
cosmos;02/05/2023;11,0301;;;;
cosmos;01/05/2023;11,0023;;;;
cosmos;30/04/2023;11,5175;;;;
cosmos;29/04/2023;11,7085;;;;
cosmos;28/04/2023;11,7096;;;;
cosmos;27/04/2023;11,5269;;;;
cosmos;26/04/2023;10,9379;;;;
cosmos;25/04/2023;11,046;;;;
cosmos;24/04/2023;10,889;;;;
cosmos;23/04/2023;10,818;;;;
cosmos;22/04/2023;11,0363;;;;
cosmos;21/04/2023;10,8099;;;;
cosmos;20/04/2023;11,3922;;;;
cosmos;19/04/2023;11,6916;;;;
cosmos;18/04/2023;12,5518;;;;
cosmos;17/04/2023;12,3535;;;;
cosmos;16/04/2023;12,6634;;;;
cosmos;15/04/2023;12,3711;;;;
cosmos;14/04/2023;12,245;;;;
cosmos;13/04/2023;11,8068;;;;
cosmos;12/04/2023;11,311;;;;
cosmos;11/04/2023;11,2661;;;;
cosmos;10/04/2023;11,1799;;;;
cosmos;09/04/2023;11,028;;;;
cosmos;08/04/2023;10,9594;;;;
cosmos;07/04/2023;11,0429;;;;
cosmos;06/04/2023;11,3252;;;;
cosmos;05/04/2023;11,5234;;;;
cosmos;04/04/2023;11,2765;;;;
cosmos;03/04/2023;11,1478;;;;
cosmos;02/04/2023;11,1206;;;;
cosmos;01/04/2023;11,382;;;;
cosmos;31/03/2023;11,1879;;;;
cosmos;30/03/2023;11,1483;;;;
cosmos;29/03/2023;11,4387;;;;
cosmos;28/03/2023;11,2116;;;;
cosmos;27/03/2023;10,8397;;;;
cosmos;26/03/2023;11,3229;;;;
cosmos;25/03/2023;11,0937;;;;
cosmos;24/03/2023;11,1841;;;;
cosmos;23/03/2023;11,6785;;;;
cosmos;22/03/2023;11,3178;;;;
cosmos;21/03/2023;11,9165;;;;
cosmos;20/03/2023;11,5355;;;;
cosmos;19/03/2023;12,2926;;;;
cosmos;18/03/2023;12,2212;;;;
cosmos;17/03/2023;13,1656;;;;
cosmos;16/03/2023;12,8138;;;;
cosmos;15/03/2023;12,4044;;;;
cosmos;14/03/2023;13,0394;;;;
cosmos;13/03/2023;11,9794;;;;
cosmos;12/03/2023;11,6961;;;;
cosmos;11/03/2023;11,0194;;;;
cosmos;10/03/2023;11,144;;;;
cosmos;09/03/2023;11,0154;;;;
cosmos;08/03/2023;10,958;;;;
cosmos;07/03/2023;11,7473;;;;
cosmos;06/03/2023;11,9777;;;;
cosmos;05/03/2023;12,0202;;;;
cosmos;04/03/2023;11,843;;;;
cosmos;03/03/2023;12,013;;;;
cosmos;02/03/2023;12,4603;;;;
cosmos;01/03/2023;12,7848;;;;
cosmos;28/02/2023;12,2693;;;;
cosmos;27/02/2023;12,7852;;;;
cosmos;26/02/2023;12,9666;;;;
cosmos;25/02/2023;12,8438;;;;
cosmos;24/02/2023;13,0797;;;;
cosmos;23/02/2023;13,7346;;;;
cosmos;22/02/2023;13,5923;;;;
cosmos;21/02/2023;13,8634;;;;
cosmos;20/02/2023;14,4246;;;;
cosmos;19/02/2023;14,1522;;;;
cosmos;18/02/2023;14,2875;;;;
cosmos;17/02/2023;14,1794;;;;
cosmos;16/02/2023;13,4239;;;;
cosmos;15/02/2023;14,2946;;;;
cosmos;14/02/2023;13,4032;;;;
cosmos;13/02/2023;13,1175;;;;
cosmos;12/02/2023;13,541;;;;
cosmos;11/02/2023;13,7496;;;;
cosmos;10/02/2023;13,7025;;;;
cosmos;09/02/2023;13,5218;;;;
cosmos;08/02/2023;15,147;;;;
cosmos;07/02/2023;14,9473;;;;
cosmos;06/02/2023;14,127;;;;
cosmos;05/02/2023;14,7348;;;;
cosmos;04/02/2023;14,6691;;;;
cosmos;03/02/2023;14,9885;;;;
cosmos;02/02/2023;14,3996;;;;
cosmos;01/02/2023;14,9122;;;;
cosmos;31/01/2023;13,3635;;;;
cosmos;30/01/2023;13,0696;;;;
cosmos;29/01/2023;13,8127;;;;
cosmos;28/01/2023;13,2239;;;;
cosmos;27/01/2023;13,5409;;;;
cosmos;26/01/2023;13,1141;;;;
cosmos;25/01/2023;13,5607;;;;
cosmos;24/01/2023;12,4486;;;;
cosmos;23/01/2023;13,0628;;;;
cosmos;22/01/2023;13,3205;;;;
cosmos;21/01/2023;13,08;;;;
cosmos;20/01/2023;13,1899;;;;
cosmos;19/01/2023;12,0154;;;;
cosmos;18/01/2023;11,553;;;;
cosmos;17/01/2023;12,162;;;;
cosmos;16/01/2023;12,3442;;;;
cosmos;15/01/2023;12,7829;;;;
cosmos;14/01/2023;12,882;;;;
cosmos;13/01/2023;12,4085;;;;
cosmos;12/01/2023;12,2771;;;;
cosmos;11/01/2023;11,8634;;;;
cosmos;10/01/2023;11,3289;;;;
cosmos;09/01/2023;11,1144;;;;
cosmos;08/01/2023;10,5429;;;;
cosmos;07/01/2023;10,1923;;;;
cosmos;06/01/2023;10,2451;;;;
cosmos;05/01/2023;10,0791;;;;
cosmos;04/01/2023;10,197;;;;
cosmos;03/01/2023;10,1575;;;;
cosmos;02/01/2023;9,8125;;;;
cosmos;01/01/2023;9,4645;;;;
