crypto;date;courscloture;;;;
theta;29/03/2023;1,0469;;;;
theta;28/03/2023;0,9751;;;;
theta;27/03/2023;0,9703;;;;
theta;26/03/2023;1,019;;;;
theta;25/03/2023;1,0034;;;;
theta;24/03/2023;1,009;;;;
theta;23/03/2023;1,0488;;;;
theta;22/03/2023;0,997;;;;
theta;21/03/2023;1,0488;;;;
theta;20/03/2023;1,0111;;;;
theta;19/03/2023;1,0657;;;;
theta;18/03/2023;1,038;;;;
theta;17/03/2023;1,0879;;;;
theta;16/03/2023;1,0178;;;;
theta;15/03/2023;1,01;;;;
theta;14/03/2023;1,0687;;;;
theta;13/03/2023;1,0209;;;;
theta;12/03/2023;0,9762;;;;
theta;11/03/2023;0,9014;;;;
theta;10/03/2023;0,909;;;;
theta;09/03/2023;0,885;;;;
theta;08/03/2023;0,9554;;;;
theta;07/03/2023;1,0029;;;;
theta;06/03/2023;1,016;;;;
theta;05/03/2023;0,9931;;;;
theta;04/03/2023;1,0211;;;;
theta;03/03/2023;1,0542;;;;
theta;02/03/2023;1,1691;;;;
theta;01/03/2023;1,195;;;;
theta;28/02/2023;1,1269;;;;
theta;27/02/2023;1,1811;;;;
theta;26/02/2023;1,2291;;;;
theta;25/02/2023;1,2091;;;;
theta;24/02/2023;1,1781;;;;
theta;23/02/2023;1,1949;;;;
theta;22/02/2023;1,1899;;;;
theta;21/02/2023;1,2432;;;;
theta;20/02/2023;1,2863;;;;
theta;19/02/2023;1,197;;;;
theta;18/02/2023;1,1961;;;;
theta;17/02/2023;1,211;;;;
theta;16/02/2023;1,1289;;;;
theta;15/02/2023;1,162;;;;
theta;14/02/2023;1,0769;;;;
theta;13/02/2023;1,0441;;;;
theta;12/02/2023;1,067;;;;
theta;11/02/2023;1,0758;;;;
theta;10/02/2023;1,0506;;;;
theta;09/02/2023;1,0458;;;;
theta;08/02/2023;1,1418;;;;
theta;07/02/2023;1,1949;;;;
theta;06/02/2023;1,0712;;;;
theta;05/02/2023;1,0968;;;;
theta;04/02/2023;1,1152;;;;
theta;03/02/2023;1,1181;;;;
theta;02/02/2023;1,0681;;;;
theta;01/02/2023;1,0842;;;;
theta;31/01/2023;1,0251;;;;
theta;30/01/2023;1,0151;;;;
theta;29/01/2023;1,108;;;;
theta;28/01/2023;1,073;;;;
theta;27/01/2023;1,118;;;;
theta;26/01/2023;1,059;;;;
theta;25/01/2023;1,0513;;;;
theta;24/01/2023;0,9954;;;;
theta;23/01/2023;1,0679;;;;
theta;22/01/2023;1,0689;;;;
theta;21/01/2023;1,009;;;;
theta;20/01/2023;1,0089;;;;
theta;19/01/2023;0,8929;;;;
theta;18/01/2023;0,8677;;;;
theta;17/01/2023;0,9619;;;;
theta;16/01/2023;0,9159;;;;
theta;15/01/2023;0,928;;;;
theta;14/01/2023;0,9151;;;;
theta;13/01/2023;0,8939;;;;
theta;12/01/2023;0,8448;;;;
theta;11/01/2023;0,8338;;;;
theta;10/01/2023;0,814;;;;
theta;09/01/2023;0,8029;;;;
theta;08/01/2023;0,7939;;;;
theta;07/01/2023;0,7688;;;;
theta;06/01/2023;0,7592;;;;
theta;05/01/2023;0,7501;;;;
theta;04/01/2023;0,753;;;;
theta;03/01/2023;0,736;;;;
theta;02/01/2023;0,7509;;;;
theta;01/01/2023;0,733;;;;
