crypto;date;courscloture;;;;
flow;09/04/2023;0,9869;;;;
flow;08/04/2023;0,9812;;;;
flow;07/04/2023;0,9871;;;;
flow;06/04/2023;1,0159;;;;
flow;05/04/2023;1,0108;;;;
flow;04/04/2023;0,981;;;;
flow;03/04/2023;0,9702;;;;
flow;02/04/2023;0,9689;;;;
flow;01/04/2023;0,9991;;;;
flow;31/03/2023;0,998;;;;
flow;30/03/2023;0,9689;;;;
flow;29/03/2023;0,9881;;;;
flow;28/03/2023;0,9363;;;;
flow;27/03/2023;0,9203;;;;
flow;26/03/2023;0,9778;;;;
flow;25/03/2023;0,9571;;;;
flow;24/03/2023;0,9771;;;;
flow;23/03/2023;1,024;;;;
flow;22/03/2023;0,988;;;;
flow;21/03/2023;1,0653;;;;
flow;20/03/2023;1,0378;;;;
flow;19/03/2023;1,0756;;;;
flow;18/03/2023;1,0402;;;;
flow;17/03/2023;1,0745;;;;
flow;16/03/2023;0,996;;;;
flow;15/03/2023;0,9679;;;;
flow;14/03/2023;1,0398;;;;
flow;13/03/2023;0,9869;;;;
flow;12/03/2023;0,9305;;;;
flow;11/03/2023;0,8673;;;;
flow;10/03/2023;0,879;;;;
flow;09/03/2023;0,8921;;;;
flow;08/03/2023;0,9481;;;;
flow;07/03/2023;1,0138;;;;
flow;06/03/2023;1,0523;;;;
flow;05/03/2023;1,0461;;;;
flow;04/03/2023;1,0535;;;;
flow;03/03/2023;1,08;;;;
flow;02/03/2023;1,144;;;;
flow;01/03/2023;1,1956;;;;
flow;28/02/2023;1,1571;;;;
flow;27/02/2023;1,2111;;;;
flow;26/02/2023;1,227;;;;
flow;25/02/2023;1,2161;;;;
flow;24/02/2023;1,1826;;;;
flow;23/02/2023;1,2159;;;;
flow;22/02/2023;1,2503;;;;
flow;21/02/2023;1,3131;;;;
flow;20/02/2023;1,3873;;;;
flow;19/02/2023;1,3422;;;;
flow;18/02/2023;1,3142;;;;
flow;17/02/2023;1,3143;;;;
