crypto;date;courscloture
SOL;26/09/2023;19,023287
SOL;27/09/2023;19,130022
SOL;28/09/2023;19,957617
SOL;29/09/2023;20,300655
SOL;30/09/2023;21,395147
SOL;01/10/2023;23,836487
SOL;02/10/2023;23,3717
SOL;03/10/2023;23,552694
SOL;04/10/2023;23,144787
SOL;05/10/2023;22,694141
SOL;06/10/2023;23,424454
SOL;07/10/2023;23,287302
SOL;08/10/2023;23,246426
SOL;09/10/2023;22,118397
SOL;10/10/2023;22,105116
SOL;11/10/2023;22,00742
SOL;12/10/2023;21,300268
SOL;13/10/2023;21,834917
SOL;14/10/2023;22,011719
SOL;15/10/2023;21,922028
SOL;16/10/2023;23,982958
SOL;17/10/2023;23,959318
SOL;18/10/2023;23,432138
SOL;19/10/2023;24,93792
SOL;20/10/2023;27,033674
SOL;21/10/2023;29,386229
SOL;22/10/2023;29,036682
SOL;23/10/2023;31,850985
SOL;24/10/2023;30,151537
SOL;25/10/2023;32,463066
SOL;26/10/2023;32,775494
SOL;27/10/2023;31,739698
SOL;28/10/2023;31,653318
SOL;29/10/2023;32,822609
SOL;30/10/2023;34,962337
SOL;31/10/2023;38,519516
SOL;01/11/2023;41,461544
SOL;02/11/2023;40,207569
SOL;03/11/2023;39,51976
SOL;04/11/2023;42,346596
SOL;05/11/2023;41,238602
SOL;06/11/2023;42,12859
SOL;07/11/2023;43,092545
SOL;08/11/2023;43,189888
SOL;09/11/2023;45,444828
SOL;10/11/2023;56,643852
SOL;11/11/2023;56,102661
SOL;12/11/2023;56,154099
SOL;13/11/2023;51,907051
SOL;14/11/2023;56,838375
SOL;15/11/2023;65,534401
SOL;16/11/2023;57,871403
SOL;17/11/2023;58,415936
SOL;18/11/2023;58,512726
SOL;19/11/2023;61,393559
SOL;20/11/2023;56,533833
SOL;21/11/2023;52,000473
SOL;22/11/2023;57,588558
SOL;23/11/2023;56,599369
SOL;24/11/2023;56,86644
SOL;25/11/2023;58,846489
SOL;26/11/2023;57,6427
SOL;27/11/2023;55,064621
SOL;28/11/2023;58,19437
SOL;29/11/2023;59,25013
SOL;30/11/2023;59,241623
